Hráč,Cena
Makar C.,27,9
Pastrňák D.,27,2
Werenski Z.,27,2
Dahlin R.,26,5
MacKinnon N.,25,4
Thompson T.,25,4
Kaprizov K.,25,0
Bouchard E.,24,9
Kempe A.,24,9
Ovechkin A.,24,9
Forsberg F.,24,6
Eichel J.,23,2
Tkachuk B.,23,2
Hughes J.,22,8
Hyman Z.,22,8
Boldy M.,22,7
Matthews A.,22,7
Josi R.,22,3
McDavid C.,22,3
Draisaitl L.,22,2
Connor K.,22,0
Kucherov N.,22,0
Montour B.,22,0
Fiala K.,21,9
Guenther D.,21,9
Tkachuk M.,21,7
Weegar M.,21,4
Chychrun J.,21,3
Reinhart S.,21,1
Verhaeghe C.,21,0
Nurse D.,20,9
Sanderson J.,20,8
Bennett S.,20,7
Krug T.,20,7
Hughes Q.,20,6
Hamilton D.,20,4
Marchand B.,20,4
Meier T.,20,3
Panarin A.,20,3
Ekblad A.,20,1
Kadri N.,20,0
Marchenko K.,19,9
Ek J.,19,8
Barkov A.,19,7
Carlson J.,19,7
Hanifin N.,19,7
Pionk N.,19,7
Schmaltz N.,19,7
Dunn V.,19,6
Stutzle T.,19,6
Sergachev M.,19,4
Fox A.,19,3
Aho S.,19,1
Celebrini M.,19,0
Tippett O.,19,0
Bobrovsky S.,18,9
Keller C.,18,9
Merzlikins E.,18,9
Sherwood K.,18,9
DeBrincat A.,18,8
Hughes L.,18,8
Walker S.,18,8
Seider M.,18,7
Wilson T.,18,7
Cossa S.,18,6
Jones S.,18,6
Marchessault J.,18,6
Reimer J.,18,6
Romanov G.,18,6
Ekholm M.,18,5
Jarvis S.,18,5
Kuemper D.,18,5
Walman J.,18,5
Appleby K.,18,4
Caufield C.,18,4
Greaves J.,18,4
Gustavsson F.,18,4
Thompson L.,18,4
Gauthier C.,18,3
Morrissey J.,18,3
Holloway D.,18,1
Dorofeyev P.,17,9
Hedman V.,17,9
Cozens D.,17,8
Dobeš J.,17,8
Forsling G.,17,8
Hellebuyck C.,17,8
Tavares J.,17,8
Daccord J.,17,7
Hertl T.,17,7
Marner M.,17,7
Stevenson C.,17,7
Vladař D.,17,7
Dostál L.,17,6
Fantilli A.,17,6
Kane E.,17,6
Theodore S.,17,6
Halverson B.,17,5
Peterka J.,17,5
Shesterkin I.,17,5
Suzuki N.,17,5
Batherson D.,17,4
Dobson N.,17,4
Durzi S.,17,4
Larkin D.,17,4
Samoskevich M.,17,4
Svechnikov A.,17,4
Tolopilo N.,17,4
Chabot T.,17,3
Karlsson E.,17,3
Lyon A.,17,3
McCann J.,17,2
Divincentiis D.,17,1
Ehlers N.,17,1
Milic T.,17,1
Poulter I.,17,1
Stolarz A.,17,1
Tarasov D.,17,1
Konecny T.,17,0
Lowry A.,17,0
Nylander W.,17,0
